second,bucket,sessions
1970/01/01 06:48:45,tcp-syn,1
1970/01/01 06:49:06,tcp-syn,1
1970/01/01 06:49:18,tcp-syn,2
1970/01/01 06:49:21,tcp-syn,4
1970/01/01 06:49:23,tcp-syn,1
1970/01/01 06:49:23,udp,2
1970/01/01 06:49:25,tcp-syn,1
1970/01/01 06:49:31,tcp-syn,2
1970/01/01 06:49:53,tcp-syn,1
1970/01/01 06:49:54,tcp-syn,1
1970/01/01 06:50:11,tcp-syn,1
1970/01/01 06:50:15,tcp-syn,1
1970/01/01 06:50:16,tcp-syn,1
1970/01/01 06:50:24,tcp-syn,1
1970/01/01 06:50:25,tcp-syn,1
1970/01/01 06:50:26,tcp-syn,1
1970/01/01 06:50:30,tcp-syn,2
1970/01/01 06:50:32,tcp-syn,2
1970/01/01 06:50:39,tcp-syn,1
1970/01/01 06:50:42,udp,1
1970/01/01 06:50:44,tcp-syn,1
1970/01/01 06:50:45,tcp-syn,3
1970/01/01 06:50:50,tcp-syn,1
1970/01/01 06:50:51,tcp-syn,2
1970/01/01 06:51:05,tcp-syn,2
1970/01/01 06:51:06,tcp-syn,2
1970/01/01 06:51:08,tcp-syn,1
1970/01/01 06:51:10,tcp-syn,2
1970/01/01 06:51:17,tcp-syn,2
1970/01/01 06:51:24,tcp-syn,1
1970/01/01 06:51:27,tcp-syn,1
1970/01/01 06:51:28,tcp-syn,2
1970/01/01 06:51:38,tcp-syn,1
1970/01/01 06:51:44,tcp-syn,2
1970/01/01 06:51:51,tcp-syn,5
1970/01/01 06:51:58,tcp-syn,2
1970/01/01 06:52:01,tcp-syn,1
